檔名,編號,稀有度,卡名,台詞,類型,動作/畫面,描述,標籤,基礎效果
card_001.png,card_001,N,疑惑問號,？？？,情緒卡／台詞卡,皺眉歪頭，周圍浮現問號,面對難懂問題時的萬用反應，裝傻界的基本功。,搞笑／裝傻／低風險／補救,好感 +2／尷尬 -2／搞笑 +6
card_002.png,card_002,N,不急,不急。,台詞卡／動作卡,雙手交叉，露出微笑，自信但欠揍,無論場面多失控，都能假裝一切在掌握之中。,自信／搞笑／低風險,好感 +2／尷尬 -2／搞笑 +5／自信 +8
card_003.png,card_003,N,我還沒上車啊,我還沒上車啊！,台詞卡／動作卡,張開雙手崩潰大喊,當世界拋下你的時候，至少喊得夠大聲。,搞笑／社死／補救,好感 +2／搞笑 +10／社死 +6
card_004.png,card_004,N,還有嗎？,還有嗎？,台詞卡／食物卡,端著紅豆湯圓，眼神真誠,對食物的執著，偶爾會誤打誤撞變成真誠。,食物／搞笑／裝可愛／低風險,好感 +3／搞笑 +5／食慾 +8
card_006.png,card_006,N,蛤？,蛤？,台詞卡／情緒卡,嘴巴微張，眼神空白,宇宙通用的萬能回應，聽不懂的時候特別好用。,搞笑／裝傻／低風險／補救,好感 +1／尷尬 +1／搞笑 +5
card_007.png,card_007,R,傻眼白貓,喵？,變身卡,變成白貓身體，臉保留 Gumayuwei 五官,裝傻、賣萌、逃避質問三合一，貓咪什麼都不知道。,裝可愛／布偶／搞笑／補救,好感 +5／尷尬 -3／搞笑 +6
card_008.png,card_008,R,臭臭泥,我融化了。,變身卡,化成一攤紫色泥怪，表情厭世,社交電量歸零的物理表現，融化但誠實。,搞笑／裝可憐／補救,好感 +2／尷尬 +2／搞笑 +8
card_011.png,card_011,R,Tom 貓布偶裝,不急。,變身卡／動作卡,穿上 Tom 貓布偶裝，雙手交叉裝鎮定,用布偶裝把尷尬包成喜劇，缺點是很熱。,布偶／裝可愛／搞笑／自信,好感 +4／尷尬 -1／搞笑 +9／自信 +6／社死 +1
card_012.png,card_012,R,Jerry 鼠布偶裝,急了。,變身卡／台詞卡,穿上 Jerry 鼠布偶裝，露出勝利小表情,看似可愛，實際上是欠揍型反擊。,布偶／裝可愛／搞笑／挑釁,好感 +2／尷尬 +2／搞笑 +9／自信 +4／社死 +2
card_013.png,card_013,R,紅色植物人,又是我？,變身卡,變成紅色小植物，頭頂冒出一片葉子,被叫去跑腿時的植物系防禦姿態。,裝可愛／搞笑／補救／低風險,好感 +3／尷尬 -1／搞笑 +7／真誠 +1
card_009.png,card_009,SR,怎麼跟我鬥,怎麼跟我鬥。,台詞卡／自信卡,黑西裝墨鏡，霸氣姿態,高風險高回報的霸總卡，用對場合是氣場，用錯場合是災難。,自信／霸總／高風險／挑釁,尷尬 +4／搞笑 +6／自信 +12／社死 +2／戰鬥 +2
card_010.png,card_010,SR,計畫通り,計畫通り。,台詞卡／智謀卡,邪魅一笑，彷彿一切都在掌握之中,預判成功時的勝利宣言，就算沒有計畫也要講。,自信／智力／搞笑,好感 +2／尷尬 +1／搞笑 +6／自信 +8
card_014.png,card_014,SR,什麼 40:0？,什麼 40:0？,台詞卡／場景卡,穿高爾夫服拿電話，震驚到瞳孔地震,聽到離譜結果時專用，能把場面瞬間變成名場面。,震驚／搞笑／社死,好感 +1／尷尬 +3／搞笑 +12／社死 +4
card_015.png,card_015,SR,我鼻子壞掉了,我鼻子壞掉了。,台詞卡／變身卡,進入無鼻黑魔法師狀態，雙手靠近頭側,氣氛不對、味道不對、人生不對的時候都能用。,搞笑／高風險／補救,尷尬 +3／搞笑 +11／社死 +3
card_016.png,card_016,SR,牌妹有溫體,牌妹有溫體。,台詞卡／場景卡,穿正式晚宴西裝，露出神秘又不該神秘的表情,適合桌遊、牌局、商務飯局；不適合普通晚餐。,神秘／智力／搞笑／高風險,好感 +1／尷尬 +4／搞笑 +10／自信 +5／社死 +2
card_017.png,card_017,SSR,空中拉桿,看好了。,動作卡／運動卡,穿 23 號球衣飛身上籃，背景出現慢動作殘影,在運動或英雄救場時很帥，在辦公室很怪。,運動／戰鬥／自信,好感 +4／尷尬 +1／搞笑 +6／自信 +8／社死 +2／戰鬥 +12
card_018.png,card_018,SSR,紅色怒火覺醒,現在，換我了。,覺醒卡／戰鬥卡,紅色能量包圍全身，背後出現多重殘影,危機場合的爆氣卡，會把戀愛事件演成 Boss 戰。,戰鬥／覺醒／自信／高風險,好感 +3／尷尬 +2／搞笑 +7／真誠 +1／自信 +10／社死 +3／戰鬥 +14
card_019.png,card_019,SSR,領域展開,領域展開。,動漫卡／戰鬥卡,白髮動漫化，做出領域展開手勢,決勝、告白、反擊都能用，但旁人可能看不懂。,戰鬥／覺醒／自信／社死,好感 +2／尷尬 +3／搞笑 +10／自信 +10／社死 +5／戰鬥 +12
card_020.png,card_020,SSR,教練我想打副本,教練，我想打副本。,真誠卡／遊戲卡,熱血漫畫風跪地握拳，眼神重新燃起,失敗後重來的真誠卡，把戀愛危機當成副本攻略。,真誠／戰鬥／補救,好感 +5／尷尬 -1／搞笑 +5／真誠 +8／自信 +2／戰鬥 +8
card_021.png,card_021,SSR,永不放棄 Gumayuwei,我是永不放棄的男人。,真誠卡／黑白漫畫卡,黑白漫畫仰角，汗水與決意同時閃光,挽回與告白失敗後的王牌，荒謬外殼下是真心。,真誠／補救／低風險,好感 +6／尷尬 -2／搞笑 +3／真誠 +10／自信 +3／戰鬥 +2
card_005.png,card_005,UR,摩艾沉默,……,雕像卡／沉默卡,整個人變成摩艾石像,不知道怎麼回答的時候，就成為地景的一部分。,沉默／文青／神秘／補救,好感 +3／尷尬 -4／搞笑 +3
card_022.png,card_022,UR,自由 Gumayuwei,我要自由約會。,雕像卡／宣言卡,自由女神像化，手持火炬照亮尷尬現場,拒絕被安排的宣言卡，適合文青或自我覺醒路線。,文青／自信／神秘,好感 +3／尷尬 +1／搞笑 +6／真誠 +2／自信 +7／社死 +2
card_023.png,card_023,UR,蒙娜麗莎 Gumayuwei,妳看見的是我，還是妳心中的我？,名畫卡,名畫化坐姿，露出難以判斷的微笑,文青約會專用，普通人看了只會想問你在幹嘛。,文青／神秘／搞笑,好感 +4／尷尬 +1／搞笑 +7／真誠 +1／自信 +2／社死 +1
card_024.png,card_024,UR,給我擦皮鞋,給我擦皮鞋。,霸總卡／高風險卡,抬腳霸總姿態，背景閃過金色壓迫感,極高風險裝逼卡，用錯場合會直接爆炸。,霸總／高風險／挑釁／自信,好感 -3／尷尬 +6／搞笑 +10／自信 +12／社死 +6／戰鬥 +2
card_025.png,card_025,UR,加餐原始人,加餐囉！,食物卡／變身卡,穿獸皮拿木棒，準備把約會變成狩獵晚餐,食物線的暴走卡，會讓浪漫氣氛變成生存節目。,食物／搞笑／高風險,好感 +1／尷尬 +3／搞笑 +9／自信 +2／社死 +3／食慾 +14／戰鬥 +3
